CNPJ_CIA;TICKER;RAZAO_CVM
58.430.828/0001-60;BLAU3;BLAU FARMACÊUTICA S.A.
59.717.553/0001-02;MLAS3;MULTILASER INDUSTRIAL S.A.
64.904.295/0001-03;CAML3;CAMIL ALIMENTOS S.A.
05.197.443/0001-38;HAPV3;HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.
06.047.087/0001-39;RDOR3;REDE D'OR SÃO LUIZ S.A.
07.882.930/0001-65;MTRE3;MITRE REALTY EMPREENDIMENTOS E PARTICIPAÇÕES S.A.
13.217.485/0001-11;SBFG3;GRUPO SBF S.A.
23.373.000/0001-32;VAMO3;VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.
82.643.537/0001-34;EALT3;ELECTRO ACO ALTONA S.A.
82.643.537/0001-34;EALT4;ELECTRO ACO ALTONA S.A.
06.057.223/0001-71;ASAI3;SENDAS DISTRIBUIDORA S.A.
12.108.897/0001-50;DMVF3;D1000 VAREJO FARMA PARTICIPAÇÕES S.A.
07.415.333/0001-20;SIMH3;SIMPAR S.A.
08.797.760/0001-83;CURY3;CURY CONSTRUTORA E INCORPORADORA S.A.
08.902.291/0001-15;CMIN3;CSN MINERAÇÃO S.A.
09.114.805/0001-30;OPCT3;OCEANPACT SERVIÇOS MARITIMOS S.A.
10.139.870/0001-08;NGRD3;NEOGRID PARTICIPAÇÕES S.A.
11.421.994/0001-36;ORVR3;ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.
12.091.809/0001-55;BRAV3;3R PETROLEUM ÓLEO E GÁS S.A.
12.181.987/0001-77;MELK3;MELNICK DESENVOLVIMENTO IMOBILIÁRIO S.A.
12.648.266/0001-24;AMBP3;AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.
14.785.152/0001-51;HBRE3;HBR REALTY EMPREENDIMENTOS IMOBILIÁRIOS S.A.
16.811.931/0001-00;AVLL3;ALPHAVILLE S.A.
16.922.038/0001-51;ENJU3;ENJOEI S.A.
18.174.270/0001-84;DOTZ3;DOTZ S.A.
20.247.322/0001-47;ALLD3;ALLIED TECNOLOGIA S.A.
21.240.146/0001-84;AGXY3;AGROGALAXY PARTICIPAÇÕES S.A.
24.990.777/0001-09;GMAT3;GRUPO MATEUS S.A.
26.462.693/0001-28;LAVV3;LAVVI EMPREENDIMENTOS IMOBILIÁRIOS S.A.
26.659.061/0001-59;ESPA3;MPM CORPÓREOS S.A.
33.839.910/0001-11;VIVA3;VIVARA PARTICIPAÇÕES S.A.
45.365.558/0001-09;VITT3;VITTIA S.A.
59.418.806/0001-47;TFCO4;TRACK & FIELD CO S.A.
60.537.263/0001-66;ALPK3;ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.
62.984.091/0001-02;CSED3;CRUZEIRO DO SUL EDUCACIONAL S.A.
82.901.000/0001-27;INTB3;INTELBRAS S.A. IND. DE TELECOMUNICAÇÃO ELETRÔNICA BRASILEIRA
85.778.074/0001-06;RSUL4;METALURGICA RIOSULENSE S.A.
96.418.264/0218-02;LJQQ3;LOJAS QUERO QUERO S.A.
01.599.101/0001-93;SEQL3;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.
24.230.275/0001-80;PLPL3;PLANO & PLANO DESENVOLVIMENTO IMOBILIÁRIO S.A.
00.359.742/0001-08;FICT3;FICTOR ALIMENTOS S.A.
02.255.187/0001-08;FIQE3;UNIFIQUE TELECOMUNICAÇÕES S.A.
02.421.421/0001-11;TIMS3;TIM PARTICIPACOES S.A.
02.635.522/0001-95;JALL3;JALLES MACHADO S.A.
02.998.611/0001-04;ISAE3;ISA ENERGIA BRASIL
02.998.611/0001-04;ISAE4;ISA ENERGIA BRASIL
03.342.704/0001-30;RECV3;PETRORECÔNCAVO S.A.
05.917.486/0001-40;WDCN3;LIVETECH DA BAHIA INDÚSTRIA E COMÉRCIO S.A.
09.042.817/0001-05;BMOB3;BEMOBI MOBILE TECH S.A.
09.229.201/0001-30;GGPS3;GPS PARTICIPAÇÕES E EMPREENDIMENTOS S.A.
10.739.356/0001-03;BRBI11;BR ADVISORY PARTNERS PARTICIPAÇÕES S.A.
12.104.241/0004-02;ONCO3;ONCOCLÍNICAS DO BRASIL SERVIÇOS MÉDICOS S.A.
12.420.164/0001-57;VVEO3;CM HOSPITALAR S.A
14.110.585/0001-07;CASH3;MÉLIUZ S.A.
19.796.586/0001-70;BRST3;BRISANET PARTICIPAÇÕES S.A.
33.453.598/0001-23;RAIZ4;RAÍZEN S.A.
38.456.921/0001-36;IFCM3;INFRACOMMERCE CXAAS S.A.
61.092.037/0001-81;ETER3;ETERNIT S.A.
61.409.892/0001-73;CBAV3;COMPANHIA BRASILEIRA DE ALUMÍNIO
26.345.998/0001-50;TRAD3;TC TRADERS CLUB S.A.
71.673.990/0001-77;NATU3;NATURA COSMÉTICOS S.A.
